Name,Role,Department,Year,Email,Contact,AvgScore,TotalSubjects,CompletedCredits
Brittany Castaneda,Faculty,Electronics,-,jordan80@haas.com,2363755806,0,-,-
Jay Rios,Student,Mathematics,3,pwilliams@freeman-johnson.info,4920746394,75,9,36
Cheryl Fletcher,Staff,Computer Science,-,zhunter@gmail.com,9867320882,0,-,-
Sandy Barrett,Student,Physics,1,hornelauren@pruitt.com,5799133681,62,10,50
Amy Arroyo,Staff,Mathematics,-,allison11@ramos.info,5199236100,0,-,-
Anthony Glass,Staff,Electronics,-,bartonmatthew@johnson.com,8448944688,0,-,-
Stacy Knight,Student,Chemistry,2,gponce@hotmail.com,5138280304,63,10,40
Rodney Lee,Student,Biology,1,qroberts@yahoo.com,4263725898,79,6,24
Nicholas Davis,Faculty,Chemistry,-,lewisjoshua@gmail.com,5013293431,0,-,-
Christopher Andersen,Staff,Chemistry,-,paynecharles@yahoo.com,0749121115,0,-,-
Jessica Vasquez,Staff,Administration,-,dbanks@goodman-taylor.com,2947054491,0,-,-
Cassandra Mccann,Faculty,Computer Science,-,williamsrichard@martinez-spencer.info,0849132940,0,-,-
Lauren Gregory,Faculty,Physics,-,zlamb@gmail.com,3115838186,0,-,-
Shane Henderson,Faculty,Chemistry,-,harperryan@lee-santos.com,4491582262,0,-,-
Barbara Johnson,Faculty,Computer Science,-,tommybridges@yahoo.com,1290808542,0,-,-
Diana Kelly,Faculty,Physics,-,chunt@yahoo.com,0602488858,0,-,-
Veronica Brown,Student,Chemistry,4,ydixon@kerr.org,6734064908,79,10,50
Brandy Clark,Faculty,Biology,-,crogers@marshall.com,0003464936,0,-,-
Jordan Johnston,Faculty,Computer Science,-,emma60@yahoo.com,0158127818,0,-,-
Steve Webb,Faculty,Administration,-,christinahardy@yahoo.com,1660556031,0,-,-
Brian Schmidt,Student,Administration,1,phamdavid@gmail.com,3791155678,90,9,36
Amy Coleman,Faculty,Computer Science,-,andrewgarcia@gmail.com,9735537808,0,-,-
Cassandra Stanton,Student,Biology,1,michael56@yahoo.com,4489305529,93,7,21
